style-scope src,style-scope,yt-simple-endpoint href,yt-simple-endpoint,yt-simple-endpoint href 3,yt-core-attributed-string,hidden 2,style-scope 3,hidden 3,yt-core-attributed-string 3,yt-core-attributed-string 4,style-scope src 3,dot,review-data href,audience-reviews__name,audience-reviews__name href,audience-reviews__duration,audience-reviews__review
https://yt3.ggpht.com/ytc/AIdro_lrKq0I87GeJzWbuO9Bc7Wjt6dmPY3eCEjLnpRuN9mKM7E=s88-c-k-c0x00ffffff-no-rj,Pinned by @BrainPilot,https://www.youtube.com/@BrainPilot,1 year ago,https://www.youtube.com/watch?v=FtNxhoottlU&lc=UgyjTboJjFRQXcV7D_R4AaABAg,Do you think Barry should have won the Golden Globe for his performance as Oliver in Saltburn? Or did Cillian Murphy deserve it? Let me know your thoughts below!,Like,160.0,Dislike,23 replies,23 replies,,,,,,,
https://yt3.ggpht.com/ytc/AIdro_lJpgF_tqjidtL6WTGOr2ja8qVnYUUDRdsC0bYETNN2Dqw=s88-c-k-c0x00ffffff-no-rj,@winnerA,https://www.youtube.com/@winnerA,1 year ago,https://www.youtube.com/watch?v=FtNxhoottlU&lc=UgyHlEAWvRLLZdNiUup4AaABAg,Unpopular opinion: his plan to inherit salburn wasn't made up initially at the beginning,Dislike,921.0,,13 replies,13 replies,,,,,,,
https://yt3.ggpht.com/vXTh3bCzVjXtt0lOkYkXHAcrQrblToXXD446fQJPROd_ne1nbk6EedwJO3ajApMZEfwUtvjj=s88-c-k-c0x00ffffff-no-rj,@froufroudeluxe,https://www.youtube.com/@froufroudeluxe,1 year ago,https://www.youtube.com/watch?v=FtNxhoottlU&lc=UgwwS_meiTcnGiy9E6x4AaABAg,This movie has me in a chokehold,,748.0,,15 replies,15 replies,,,,,,,
https://yt3.ggpht.com/pHtnQPou8pNycZOXskJnOw3QXtGzxYU3KoWO982iqsmZLsYTbXAaFexVDJgPQ_TVngKZl3eQxEo=s88-c-k-c0x00ffffff-no-rj,@Jackntherippers,https://www.youtube.com/@Jackntherippers,1 year ago,https://www.youtube.com/watch?v=FtNxhoottlU&lc=UgyYQL3Ar--o-0NNSGZ4AaABAg,"I will have to politely disagree after watching through it a lot more. 

Ollie did truly love Felix but he was far too grandiose to see the reality of what he actually was to Felix in the start and I think he truly was lead on to partly believe that. 

He doesn’t initially want Felix’s lifestyle. He wants his heart but when Felix hurts him he decides he’ll take the rest of the future he envisioned with Felix. He sees him as this angel instead of the person he is  (it’s why he doesn’t initially smell how gross Felix’s room is cause he’s not in reality)and so doesn’t actually consider the fact that Felix is just kind to a lot of people and can drop them like nothing very easily.

Felix literally says I love you to Ollie and kisses his cheek the first time they come across one another. Up to this point I think he is truly just trying to live out a rom com fantasy and he’s desperately in love but when Felix rejects him he switches and gains a hatred for him that’s extreme as his love for him and it’s because Felix actually really hurt him.
He didn’t account for Felix being nosy enough to take him home for his birthday. It wasn’t just a kind gesture. It would have been for Felix to get a feeling of gratitude and a close up look at a poor person because that’s what this family does for their holiday. It’s why he takes different guys home with him every year.

You see Felix is also trying to impress his parents. They’re narcissists and he’s the golden child. Venetia is the scapegoat. He brings home a spectacle for his mother each year. She judges their beauty and tragedy. They do not see them as more and discard them. Farleigh knows that and it’s what he tried to convey to Ollie the entire film. 

Ollie’s actions are pure manifestations of unbridled rage and obsession in both extremes and that’s what his entire monologue is about. 

The blood scene is to show him as cannibalistic. He devours the family from the inside out like Venetia said. That’s why he did that blood scene and why he drunk the bath water. He will consume them entirely and in the end he did.

The grave fucking scene is reference to heathcliff from wurthering heights digging up and laying with the body of his lover. The story was similar in that it had a character infiltrate a rich family but the motive was unrequited love which is what I think we have to disagree on. 

Also Ollie wears those horns cause in Shakespeare plays they were usually used to signify a cuck lmao.",Like,754.0,Dislike,36 replies,36 replies,,,,,,,
https://yt3.ggpht.com/ytc/AIdro_kgpoo4vRQWZ7v_XumqsPMaDtrEjVX38RC7dyIMLxuy2D832dS0H_y2mFgsRDNPotjB3w=s88-c-k-c0x00ffffff-no-rj,@squamish4244,https://www.youtube.com/@squamish4244,1 year ago,https://www.youtube.com/watch?v=FtNxhoottlU&lc=UgzhbKR97SlU9ZrAYFJ4AaABAg,"Sometimes psychopaths are just psychopaths. A lot of serial killers suffer from different kinds of abuse, but nothing particularly outstanding that many people go through who  end up like them.",Like,21.0,Dislike,don't,,,,,,,,
https://yt3.ggpht.com/ytc/AIdro_lb7cEEY71mVLbJ9waeG0Qm74l94JiWxNETF_OmzBcv_dk=s88-c-k-c0x00ffffff-no-rj,@mbanerjee5889,https://www.youtube.com/@mbanerjee5889,1 year ago,https://www.youtube.com/watch?v=FtNxhoottlU&lc=UgxPvtXM7cBfruqQrvh4AaABAg,"Like Venetia pointed out, Oliver only knew Felix for about 6 months. He barely knew Felix, he just loved the idea of him.",Dislike,522.0,,11 replies,11 replies,,,,,,,
https://yt3.ggpht.com/ytc/AIdro_mMHcGylQwk8tBk04hBnDc-O0ECDqtOq4rTC1BNu-xT6nE=s88-c-k-c0x00ffffff-no-rj,@Pupeyes,https://www.youtube.com/@Pupeyes,1 year ago,https://www.youtube.com/watch?v=FtNxhoottlU&lc=UgwmWAyCk_qCU-8wDWV4AaABAg&pp=0gcJCSIANpG00pGi,"Him dancing around naked is such a slap
In the face. The director just rubbed the madness in our faces. I loved that.",Dislike,555.0,,12 replies,12 replies,https://yt3.ggpht.com/ytc/AIdro_lrKq0I87GeJzWbuO9Bc7Wjt6dmPY3eCEjLnpRuN9mKM7E=s48-c-k-c0x00ffffff-no-rj,·,,,,,
https://yt3.ggpht.com/ytc/AIdro_nVOAK-o0QudzPZugIVGtRJvmTcnZHZhLCqNQhtTg=s88-c-k-c0x00ffffff-no-rj,@fabsmaster5309,https://www.youtube.com/@fabsmaster5309,11 months ago,https://www.youtube.com/watch?v=FtNxhoottlU&lc=Ugze8UyF9cSKzlSGXjN4AaABAg,"When he said he read all 50 books in the summer reading list, I thought it was because he was a genius. Now I realize it was a lie to impress the professor, just like all his others.",Like,72.0,Dislike,1 reply,1 reply,,,,,,,
https://yt3.ggpht.com/ko6UrlahbrlUcNNEedqkdh8aRoTUJzWZhTvK3DIqDJI0OPZGIYdE-wrauj76EOiBtzlgUZbH=s88-c-k-c0x00ffffff-no-rj,@Sammy-li4ez,https://www.youtube.com/@Sammy-li4ez,1 year ago,https://www.youtube.com/watch?v=FtNxhoottlU&lc=Ugxd_dqHcuOvPH3aXSN4AaABAg,This movie made my blood run cold,Like,22.0,Dislike,,,,,,,,,
https://yt3.ggpht.com/ytc/AIdro_m2YbSZiCa8oxq4g5nDTSpqKsB3Fufs6g3laoveEPI=s88-c-k-c0x00ffffff-no-rj,@ahf9281,https://www.youtube.com/@ahf9281,1 year ago,https://www.youtube.com/watch?v=FtNxhoottlU&lc=Ugxi28CzHSxLFnuvkEF4AaABAg,"I honestly don’t think Ollie set out from the very beginning to take salt burn for himself, and I also believe that Ollie did love Felix. A lot of people wonder what would’ve happened in the end if they had never met Ollie‘s parents, and therefore Felix rejecting him. Ollie did love Felix because you can see it through his gazes, actions, and distress after Felix‘s death and throughout the film. Ollie had a framed picture of him and Felix, that he blew a kiss to, and only touched Felix’s stone at the very end. If he had no love for Felix, then why would he have even cared to remember him? The Director even stated that Ollie happiest ending would’ve been to be married with Felix. But unfortunately Ollie was so enchanted with Felix that he would’ve rather have him dead then let him go forever.",Like,359.0,Dislike,12 replies,12 replies,,,,,,,
https://yt3.ggpht.com/ytc/AIdro_kz3GCqKBtTVcEIOrEeBrkd3zEGWkQEs6C-N1T-fEBGAI6BhyUrrDYcsm2hHsGELpLwLw=s88-c-k-c0x00ffffff-no-rj,@Titanicdork133,https://www.youtube.com/@Titanicdork133,1 year ago,https://www.youtube.com/watch?v=FtNxhoottlU&lc=UgzSvg6F7jJB8VKicBF4AaABAg,It’s unrealistic that he inherited saltburn as the title would have been passed on to the nearest male relative as soon as the dad died- not to elsbeth,Like,3.0,Dislike,,,,,,,,,
https://yt3.ggpht.com/ytc/AIdro_ni2-otbTT37y9Q5Qs5w1h6bhMVfmN8R4smPS5iQekLiL4=s88-c-k-c0x00ffffff-no-rj,@lea9977,https://www.youtube.com/@lea9977,1 year ago,https://www.youtube.com/watch?v=FtNxhoottlU&lc=UgyuaohI3te1alqjMzB4AaABAg,"What was interesting watching back is the beginning monologue when he says, “I loved him” 3x it flashes to himself.",Like,116.0,Dislike,,,,,,,,,
